xfoilCl                                         
 Alfa =       NaN Re =  1000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00001  0.00126      NaN
   0.99932  0.00136      NaN
   0.99727  0.00166      NaN
   0.99386  0.00215      NaN
   0.98909  0.00284      NaN
   0.98299  0.00372      NaN
   0.97556  0.00479      NaN
   0.96683  0.00604      NaN
   0.95683  0.00745      NaN
   0.94558  0.00904      NaN
   0.93311  0.01079      NaN
   0.91946  0.01268      NaN
   0.90467  0.01472      NaN
   0.88877  0.01689      NaN
   0.87182  0.01918      NaN
   0.85385  0.02159      NaN
   0.83492  0.02410      NaN
   0.81508  0.02669      NaN
   0.79438  0.02937      NaN
   0.77289  0.03212      NaN
   0.75065  0.03492      NaN
   0.72773  0.03776      NaN
   0.70419  0.04063      NaN
   0.68010  0.04352      NaN
   0.65553  0.04640      NaN
   0.63053  0.04927      NaN
   0.60517  0.05210      NaN
   0.57953  0.05487      NaN
   0.55367  0.05757      NaN
   0.52767  0.06019      NaN
   0.50159  0.06269      NaN
   0.47551  0.06506      NaN
   0.44949  0.06727      NaN
   0.42360  0.06932      NaN
   0.39792  0.07117      NaN
   0.37252  0.07281      NaN
   0.34746  0.07422      NaN
   0.32281  0.07539      NaN
   0.29864  0.07629      NaN
   0.27502  0.07692      NaN
   0.25201  0.07726      NaN
   0.22967  0.07730      NaN
   0.20802  0.07705      NaN
   0.18685  0.07642      NaN
   0.16621  0.07531      NaN
   0.14625  0.07360      NaN
   0.12710  0.07124      NaN
   0.10892  0.06819      NaN
   0.09183  0.06447      NaN
   0.07595  0.06012      NaN
   0.06141  0.05521      NaN
   0.04829  0.04985      NaN
   0.03666  0.04416      NaN
   0.02659  0.03825      NaN
   0.01809  0.03226      NaN
   0.01119  0.02630      NaN
   0.00587  0.02047      NaN
   0.00213  0.01487      NaN
  -0.00007  0.00957      NaN
  -0.00076  0.00461      NaN
   0.00000  0.00000      NaN
   0.00213 -0.00415      NaN
   0.00555 -0.00777      NaN
   0.01018 -0.01090      NaN
   0.01598 -0.01360      NaN
   0.02289 -0.01592      NaN
   0.03086 -0.01793      NaN
   0.03983 -0.01970      NaN
   0.04979 -0.02131      NaN
   0.06071 -0.02283      NaN
   0.07257 -0.02430      NaN
   0.08538 -0.02579      NaN
   0.09916 -0.02734      NaN
   0.11394 -0.02898      NaN
   0.12975 -0.03072      NaN
   0.14665 -0.03256      NaN
   0.16466 -0.03448      NaN
   0.18383 -0.03643      NaN
   0.20419 -0.03832      NaN
   0.22569 -0.04003      NaN
   0.24799 -0.04150      NaN
   0.27099 -0.04271      NaN
   0.29462 -0.04367      NaN
   0.31882 -0.04439      NaN
   0.34352 -0.04486      NaN
   0.36866 -0.04510      NaN
   0.39416 -0.04512      NaN
   0.41996 -0.04492      NaN
   0.44598 -0.04452      NaN
   0.47216 -0.04392      NaN
   0.49841 -0.04315      NaN
   0.52467 -0.04220      NaN
   0.55085 -0.04110      NaN
   0.57690 -0.03986      NaN
   0.60274 -0.03849      NaN
   0.62829 -0.03700      NaN
   0.65349 -0.03541      NaN
   0.67826 -0.03373      NaN
   0.70254 -0.03197      NaN
   0.72626 -0.03015      NaN
   0.74935 -0.02827      NaN
   0.77175 -0.02636      NaN
   0.79340 -0.02443      NaN
   0.81424 -0.02248      NaN
   0.83421 -0.02054      NaN
   0.85325 -0.01862      NaN
   0.87133 -0.01673      NaN
   0.88837 -0.01489      NaN
   0.90435 -0.01311      NaN
   0.91921 -0.01140      NaN
   0.93291 -0.00978      NaN
   0.94543 -0.00827      NaN
   0.95671 -0.00688      NaN
   0.96675 -0.00562      NaN
   0.97550 -0.00450      NaN
   0.98294 -0.00353      NaN
   0.98906 -0.00272      NaN
   0.99383 -0.00209      NaN
   0.99725 -0.00163      NaN
   0.99931 -0.00135      NaN
   0.99999 -0.00126      NaN
